file,mc
cnf/sundermann/business/erp_system/Pereira2016.cnf, 19596803153301043673067768229947006969139168466363073081503867409549759481825694563604368724049453565021854187853899689733643289257142233170046686813924719457794516684058550239199999885593462706481367003238631075709591769837833070006370252784634973794817093595110166815702153110295525992519910676434422920331824150478187187653457159323364147851026726121103054831245215703398123133396305398097510399
cnf/sundermann/e_commerce/e_agribusiness/Pereira2016.cnf, 7963925337742103753772434647966477345221221012644615706411534387743513963597092882126701467941887616657769649627320366366466241124894431110910306561184479214226752233650410652875753217398144588197672250408908076196356214793039544497216960257418958202328822237528147758031335615627306777081143502413476432954437647707233689469193834358399478731423802909515390245681475337311556330678423557069107078487421954357844194241657899190799119337774373893485209390740884475817572239198433414806747401330935627554752232935757521734325919373865811969503930893738180608000
cnf/sundermann/e_commerce/e_shop/Lau2006.cnf, 247496437923840
cnf/sundermann/finance/FinancialServices01/Nieke2018-2018-05-09.cnf, 97451212554676
cnf/sundermann/finance/decisionmaking/AlHajjaji2019.cnf, 41486191161933302534761127840868545881228065620799807846093258029945209497178644360258227074498560
cnf/sundermann/finance/bank/AlHajjaji2019.cnf, 52582279903621926514707790823424
cnf/sundermann/automotive/automotive01/Kowal2016.cnf, 5278539219821314670274577698978249614226329764180035258768650428139431316943478950493164460261562310215535134411549961261182654628944393235199702191846914047929088235490694238744799357173760000000000000000000000
cnf/sundermann/automotive/automotive2/Knüppel2017-2_4.cnf, 16505272636520770608049807336686263419262278171474896528902674080188226535986513386206222739154199990312304316432375708419908334951120777840761446056501033491673756322502123336090943486436039243372030766943458602037261070847529674534356018156008670682187009867114669183165589812678347677020009178324343716516097209109845184348679968274326123049227527790019157116786715333025963056661497445641173800199765222163167371496529076598275345593840432679060593082091562556148743367163011059914376453848874833624216454940443543476903147239713725910883379897186772787280371367887760273478656423910102759489682512679566900002943975655597096674268679680101882972677272515371297444691753104874195657464993976495326679318657622295700861777088118982149971100416087768578981508055766733740078413795875538473667538095783126142950285621270589214044781390019682483886583359849938540211221775670172765581722321182214883760887169041797021188330713322356432125673511102447057280896884295376155649470685335338495258057322025865111781429202794739966258303407257483764514048109066413495739887120721093956731137104071984616616093530304438776638066291197761951034921410607293591331155786344517409313802138987056145557947322022252231548896287559556403966183750725000574198535237943080891660398515976002019199247649442832823641555125736303883310186456855445612857146873733447167431344738817867253190162116602107467483579427839512688474377395370679756390400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cnf/sundermann/text/xtext/Mendonca2009.cnf, 130793182007669276479488
cnf/sundermann/deep_learning/cnn-architecture/Ghamizi2019-light.cnf, 129159302166564746081718464284085916177693270160810103087699803380871589886086723095971778037822348779776536163322884713058892365770428362604569630320699724729499375452124863193065867297
cnf/sundermann/security/CVE/VarelaVaca2020-2020-9372.cnf, 844
cnf/sundermann/database/berkeleydb/Hierons2020.cnf, 32
cnf/sundermann/games/Tankwar/Schulze2012.cnf, 4213417192067818800
cnf/sundermann/hardware/pc-richmond/Sprey2020.cnf, 3326549945784326553600
cnf/sundermann/cloud/multicloud/GonzálezRojas2019.cnf, 1
cnf/sundermann/systems_software/innovator/Berger2013.cnf, 2273145273507107056962066084852614399147351244695680545974036427308723521009155401246295718557035373854925705734955987869924620443600
cnf/sundermann/systems_software/innovator/Knüppel2017.cnf, 1854322391273711467089544570427927938098367047602616457223562262498576799715020825733931585771808434964396153534588323252466488852200
cnf/sundermann/systems_software/aeb/Berger2013.cnf, 62158656929883822819223168371063334073112422574166716896263360452573809665338057776443957907814576080520402364611609757200
cnf/sundermann/systems_software/aeb/Knüppel2017.cnf, 50765964107257994343042315414679420499590364967969829449200234628462274407066582571140767926628093534295906542862880947720
cnf/sundermann/systems_software/stdeval1/Berger2013.cnf, 2165559830176251018434195838843725299641678774309162467789568310548326364114375745009507837070374853672884824543029364240
cnf/sundermann/systems_software/stdeval1/Knüppel2017.cnf, 1777513738462371167312126977934637315595992190651133233483219311811429860086736757814918144036603999822259126999596088840
cnf/sundermann/systems_software/iq80310/Berger2013.cnf, 49804367378825634054504490063233589242473605730220816875319525222729779715941517641067126138911163800540225148212478237101997600
cnf/sundermann/systems_software/iq80310/Knüppel2017.cnf, 40628201310231584390349388529695422501310017744912637111797063049882791089876586456270829036237672144343098813607549911384880400
cnf/sundermann/systems_software/pc_i82544/Berger2013.cnf, 18367814290425503114723451651257356017633017579421835008043105119613367523180219552613565893879479893504723853951616378459430800
cnf/sundermann/systems_software/pc_i82544/Knüppel2017.cnf, 15255690366224518443391643906855918971439224195778209534368207629482541229440174325510498605703791652267515850012141653009011400
cnf/sundermann/systems_software/sleb/Berger2013.cnf, 1193965566663859134973685220280349792789171080086920325827381837380911994879916618361588029860721019380751110364244942800
cnf/sundermann/systems_software/sleb/Knüppel2017.cnf, 995353648043325277633470371179901552767596542902694690949393806712545504789889138240157620657590241028863880769128775400
cnf/sundermann/systems_software/aim711/Berger2013.cnf, 18228676455213467398636827248933537472165275245806763164058682765391450510047032030613764564732647863862705341954389059319455600
cnf/sundermann/systems_software/aim711/Knüppel2017.cnf, 14774330430621157731722133341086235369623792545233234777967656667959102594913670363677531700267469812905880102274854535407779000
cnf/sundermann/systems_software/olpcl2294/Berger2013.cnf, 20176980046009325699976231925656659773125711065309355831205001219158035365287069653622362342370942885261516709488458195138512400
cnf/sundermann/systems_software/olpcl2294/Knüppel2017.cnf, 16409553530829837268388723848982736596383133374843949497934879291332187874493437394657839935225481319870287847443041895794294280
cnf/sundermann/systems_software/h8300h_sim/Berger2013.cnf, 126024469283361873384607583754956414503940294936791222380108890012274328010073888669496725421228478394457674641589608400
cnf/sundermann/systems_software/h8300h_sim/Knüppel2017.cnf, 105060747768425476378692255919478076841894003742484303999287040731416096359041651136394042968331634167086840242850119400
cnf/sundermann/systems_software/eb55/Berger2013.cnf, 301734715727462260059076296893642204373830880207665530473120635919317710296476497778808221124681460383874926122552230596314640
cnf/sundermann/systems_software/eb55/Knüppel2017.cnf, 246313259946533613970403778420960576011801393070368754311698115503982439615402549258352871507457168428002437954265978088668680
cnf/sundermann/systems_software/tx39_sim/Berger2013.cnf, 682632541893845669089365150548794224452599778292732575200940395975820255893908361943767657141773822968058178943088795600
cnf/sundermann/systems_software/tx39_sim/Knüppel2017.cnf, 569079050366146416980540939160080445622347600456034829580786548101749224966043605048075923684660067158356994990623047400
cnf/sundermann/systems_software/nano/Berger2013.cnf, 50304240823837766789522624609121528712034240476247190286248384341434069554186340656230554598764419278244487613647638840646567440
cnf/sundermann/systems_software/nano/Knüppel2017.cnf, 41035614041131144580638930120865172900837467207201696266483902633211769570133764743788467155279402740111726249263613206871096840
cnf/sundermann/systems_software/lpcmt/Berger2013.cnf, 37128091317744599575402179011383874999037121164929894272124153053569906046091105256246897401347676166648033913021227632428560
cnf/sundermann/systems_software/lpcmt/Knüppel2017.cnf, 30284700345107452972137231298969814637323452025757987941645958364844221920916786822953305484279386544098175253294155798625800
cnf/sundermann/systems_software/windows/Mendonca2009-8.cnf, 189894508458618140289756748622083266800536796901245088
cnf/sundermann/systems_software/hs7729pci/Berger2013.cnf, 3313750866449934157711102362307707370730013504181374498671821304927844522358210222283687281791452902987656603872069222909733800425680
cnf/sundermann/systems_software/hs7729pci/Knüppel2017.cnf, 109320868166250112019418987341021783732278863171036927431826519789207461786992689237876998023824500611349751690157361871720
cnf/sundermann/systems_software/pc_vmWare/Berger2013.cnf, 2943205104036253854536669458385295189350684345476822510226946906879738883079765204207109889772778240909447817099528783779110800
cnf/sundermann/systems_software/pc_vmWare/Knüppel2017.cnf, 2445736878325622232789066161685406156077729423657650256235668672317555555456807088146247710608885290297616489892513122558579400
cnf/sundermann/systems_software/sam7ex256/Berger2013.cnf, 944851128754377944722173411804677661023530935654438424344672651367814009925738975686878368133920363477224489048817708604038128340000
cnf/sundermann/systems_software/sam7ex256/Knüppel2017.cnf, 764439161246741438723592293265538574956867088483632294772783146387622655660105730673437509539493536487738842332085510292540677848080
cnf/sundermann/systems_software/fads/Berger2013.cnf, 22498149826383106835910071563956647969836633022087683013493060821513866247531333920741376536082522442413501037034161512400
cnf/sundermann/systems_software/fads/Knüppel2017.cnf, 18809386119063106079123552655460536181696387552415884213392973950819034476474581843684284647948557274499111865236932935400
cnf/sundermann/systems_software/uCLinux_base/Knüppel2017.cnf, 26161747473967066644480
cnf/sundermann/systems_software/integrator_arm7/Berger2013.cnf, 901857533767702059117370585265472680719171057196169588605434453774884930761461897145120625101012999415684092343888848361650331600
