file,lmc
cnf/sundermann/business/erp_system/Pereira2016.cnf, 2.15255e+319
cnf/sundermann/e_commerce/e_agribusiness/Pereira2016.cnf, 3.78439e+558
cnf/sundermann/finance/FinancialServices01/Nieke2018-2018-05-09.cnf, 6.57512e+13
cnf/sundermann/finance/decisionmaking/AlHajjaji2019.cnf, 1.69773e+89
cnf/sundermann/finance/bank/AlHajjaji2019.cnf, 4.94273e+31
cnf/sundermann/automotive/automotive01/Kowal2016.cnf, 4.0654e+210
cnf/sundermann/text/xtext/Mendonca2009.cnf, 1.22161e+23
cnf/sundermann/deep_learning/cnn-architecture/Ghamizi2019-light.cnf, 2.70948e+184
cnf/sundermann/security/CVE/VarelaVaca2020-2020-9372.cnf, 844
cnf/sundermann/database/berkeleydb/Hierons2020.cnf, 32
cnf/sundermann/hardware/pc-richmond/Sprey2020.cnf, 3.05463e+21
cnf/sundermann/systems_software/innovator/Berger2013.cnf, 1.11018e+130
cnf/sundermann/systems_software/innovator/Knüppel2017.cnf, 3.31669e+128
cnf/sundermann/systems_software/aeb/Berger2013.cnf, 2.25647e+119
cnf/sundermann/systems_software/aeb/Knüppel2017.cnf, 1.56066e+118
cnf/sundermann/systems_software/stdeval1/Berger2013.cnf, 4.86397e+117
cnf/sundermann/systems_software/stdeval1/Knüppel2017.cnf, 1.04273e+117
cnf/sundermann/systems_software/iq80310/Berger2013.cnf, 6.80301e+124
cnf/sundermann/systems_software/iq80310/Knüppel2017.cnf, 7.20898e+125
cnf/sundermann/systems_software/pc_i82544/Berger2013.cnf, 3.59959e+123
cnf/sundermann/systems_software/pc_i82544/Knüppel2017.cnf, 4.97861e+123
cnf/sundermann/systems_software/sleb/Berger2013.cnf, 8.21146e+117
cnf/sundermann/systems_software/sleb/Knüppel2017.cnf, 5.27219e+115
cnf/sundermann/systems_software/aim711/Knüppel2017.cnf, 1.11899e+124
cnf/sundermann/systems_software/olpcl2294/Berger2013.cnf, 1.07091e+125
cnf/sundermann/systems_software/olpcl2294/Knüppel2017.cnf, 1.6281e+125
cnf/sundermann/systems_software/h8300h_sim/Berger2013.cnf, 1.77447e+117
cnf/sundermann/systems_software/h8300h_sim/Knüppel2017.cnf, 2.64702e+116
cnf/sundermann/systems_software/eb55/Berger2013.cnf, 3.38736e+122
cnf/sundermann/systems_software/eb55/Knüppel2017.cnf, 5.00452e+120
cnf/sundermann/systems_software/tx39_sim/Berger2013.cnf, 1.34276e+118
cnf/sundermann/systems_software/tx39_sim/Knüppel2017.cnf, 1.94098e+116
cnf/sundermann/systems_software/nano/Berger2013.cnf, 7.0524e+124
cnf/sundermann/systems_software/nano/Knüppel2017.cnf, 6.62662e+124
cnf/sundermann/systems_software/lpcmt/Berger2013.cnf, 5.05332e+121
cnf/sundermann/systems_software/lpcmt/Knüppel2017.cnf, 2.31335e+122
cnf/sundermann/systems_software/windows/Mendonca2009-8.cnf, 1.14752e+51
cnf/sundermann/systems_software/hs7729pci/Berger2013.cnf, 2.69223e+129
