file, #v, #c
cnf/soos/hash-13-6.cnf.gz.no_w.cnf, 613485, 2466049
cnf/soos/or-70-20-9.cnf.gz.no_w.cnf, 140, 350
cnf/soos/or-100-10-3.cnf.gz.no_w.cnf, 200, 500
cnf/soos/90-24-2-q.cnf.gz.no_w.cnf, 2784, 4416
cnf/soos/s526a_7_4.cnf.gz.no_w.cnf, 384, 1020
cnf/soos/jburnim_morton.sk_13_530.cnf.gz.no_w.cnf, 101241, 378557
cnf/soos/75-16-1-q.cnf.gz.no_w.cnf, 1216, 1920
cnf/soos/or-100-20-4-UC-60.cnf.gz.no_w.cnf, 200, 500
cnf/soos/brp.pm_14steps_14int_8fract_p1_N=3000_MAX=4under.dimacs.gz.no_w.cnf, 115530, 70083
cnf/soos/90-19-2-q.cnf.gz.no_w.cnf, 1729, 2736
cnf/soos/blasted_case211.cnf.gz.no_w.cnf, 869, 2929
cnf/soos/or-100-10-6-UC-30.cnf.gz.no_w.cnf, 200, 500
cnf/soos/blasted_case131.cnf.gz.no_w.cnf, 432, 1830
cnf/soos/03A-1.cnf.gz.no_w.cnf, 1466, 5236
cnf/soos/90-50-9-q.cnf.gz.no_w.cnf, 12300, 19600
cnf/soos/90-19-9-q.cnf.gz.no_w.cnf, 1729, 2736
cnf/soos/or-50-5-3-UC-30.cnf.gz.no_w.cnf, 100, 250
cnf/soos/90-42-3-q.cnf.gz.no_w.cnf, 8652, 13776
cnf/soos/75-10-3-q.cnf.gz.no_w.cnf, 460, 720
cnf/soos/or-100-20-10-UC-10.cnf.gz.no_w.cnf, 200, 500
cnf/soos/blasted_squaring60.cnf.gz.no_w.cnf, 5186, 16134
cnf/soos/75-14-6-q.cnf.gz.no_w.cnf, 924, 1456
cnf/soos/or-100-10-8-UC-20.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-100-10-2-UC-40.cnf.gz.no_w.cnf, 200, 500
cnf/soos/07B-2.cnf.gz.no_w.cnf, 22947, 102786
cnf/soos/or-70-5-7.cnf.gz.no_w.cnf, 140, 350
cnf/soos/or-100-10-8-UC-50.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-50-10-10-UC-20.cnf.gz.no_w.cnf, 100, 250
cnf/soos/leader_sync4_11.pm_5steps_7int_7fract_elected_under.dimacs.gz.no_w.cnf, 70811, 36609
cnf/soos/75-26-2-q.cnf.gz.no_w.cnf, 3276, 5200
cnf/soos/07A-4.cnf.gz.no_w.cnf, 10030, 40827
cnf/soos/or-60-20-2-UC-40.cnf.gz.no_w.cnf, 120, 300
cnf/soos/90-46-10-q.cnf.gz.no_w.cnf, 10396, 16560
cnf/soos/blasted_case9.cnf.gz.no_w.cnf, 279, 753
cnf/soos/90-38-10-q.cnf.gz.no_w.cnf, 7068, 11248
cnf/soos/or-50-5-2.cnf.gz.no_w.cnf, 100, 250
cnf/soos/modexp8-6-6.cnf.gz.no_w.cnf, 125873, 475214
cnf/soos/90-50-2-q.cnf.gz.no_w.cnf, 12300, 19600
cnf/soos/crowds.pm_15steps_8int_7fract_PCTL_TotalRuns=6_CrowdSize=10under.dimacs.gz.no_w.cnf, 472794, 360199
cnf/soos/15B-3.cnf.gz.no_w.cnf, 55469, 254525
cnf/soos/prod-24.cnf.gz.no_w.cnf, 44777, 224078
cnf/soos/or-100-5-10-UC-20.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-100-5-10-UC-30.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-100-20-4-UC-50.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-100-10-9-UC-10.cnf.gz.no_w.cnf, 200, 500
cnf/soos/herman21.pm_20steps_6int_1fract_stable_over.dimacs.gz.no_w.cnf, 206909, 106425
cnf/soos/hash-10.cnf.gz.no_w.cnf, 470841, 1889684
cnf/soos/or-70-20-2-UC-40.cnf.gz.no_w.cnf, 140, 350
cnf/soos/50-16-1-q.cnf.gz.no_w.cnf, 1216, 1920
cnf/soos/90-20-5-q.cnf.gz.no_w.cnf, 1920, 3040
cnf/soos/blasted_case_2_ptb_1.cnf.gz.no_w.cnf, 963, 3027
cnf/soos/90-15-3-q.cnf.gz.no_w.cnf, 1065, 1680
cnf/soos/blasted_case_2_b12_even2.cnf.gz.no_w.cnf, 2669, 8460
