file, #m
tmp/30.150.76.cnf, 3929
tmp/30.150.54.cnf, 14226
tmp/30.150.195.cnf, 15159
tmp/30.150.157.cnf, 1335
tmp/30.150.128.cnf, 3142
tmp/30.150.145.cnf, 6926
tmp/30.150.251.cnf, 7543
tmp/30.150.164.cnf, 2532
tmp/30.150.204.cnf, 2250
tmp/30.150.38.cnf, 4270
tmp/30.150.68.cnf, 12515
tmp/30.150.174.cnf, 6170
tmp/30.150.183.cnf, 6326
tmp/30.150.18.cnf, 1271
tmp/30.150.44.cnf, 2164
tmp/30.150.14.cnf, 5379
tmp/30.150.31.cnf, 1077
tmp/30.150.119.cnf, 9986
tmp/30.150.265.cnf, 2435
tmp/30.150.186.cnf, 1285
tmp/30.150.261.cnf, 10230
tmp/30.150.19.cnf, 7912
tmp/30.150.92.cnf, 3151
tmp/30.150.110.cnf, 9708
tmp/30.150.245.cnf, 3073
tmp/30.150.148.cnf, 4998
tmp/30.150.46.cnf, 21191
tmp/30.150.277.cnf, 3913
tmp/30.150.194.cnf, 1574
tmp/30.150.239.cnf, 3308
tmp/30.150.82.cnf, 11319
tmp/30.150.189.cnf, 3369
tmp/30.150.139.cnf, 1499
tmp/30.150.0.cnf, 2623
tmp/30.150.196.cnf, 3079
tmp/30.150.37.cnf, 2326
tmp/30.150.184.cnf, 1206
tmp/30.150.154.cnf, 5452
tmp/30.150.296.cnf, 9777
tmp/30.150.247.cnf, 2026
tmp/30.150.87.cnf, 8348
tmp/30.150.69.cnf, 3070
tmp/30.150.136.cnf, 2267
tmp/30.150.100.cnf, 4292
tmp/30.150.218.cnf, 2185
tmp/30.150.167.cnf, 1543
tmp/30.150.141.cnf, 10555
tmp/30.150.118.cnf, 11440
tmp/30.150.283.cnf, 6698
tmp/30.150.249.cnf, 3457
tmp/30.150.217.cnf, 4743
tmp/30.150.29.cnf, 1620
tmp/30.150.179.cnf, 4346
tmp/30.150.51.cnf, 16401
tmp/30.150.58.cnf, 8739
tmp/30.150.88.cnf, 6046
tmp/30.150.16.cnf, 4750
tmp/30.150.113.cnf, 572
tmp/30.150.205.cnf, 31519
tmp/30.150.238.cnf, 650
tmp/30.150.203.cnf, 5368
tmp/30.150.107.cnf, 5076
tmp/30.150.17.cnf, 3206
tmp/30.150.149.cnf, 1661
tmp/30.150.111.cnf, 6310
tmp/30.150.47.cnf, 22838
tmp/30.150.108.cnf, 12124
tmp/30.150.98.cnf, 9146
tmp/30.150.97.cnf, 14251
tmp/30.150.214.cnf, 1563
tmp/30.150.61.cnf, 2140
tmp/30.150.198.cnf, 1158
tmp/30.150.175.cnf, 2148
tmp/30.150.65.cnf, 4543
tmp/30.150.36.cnf, 510
tmp/30.150.80.cnf, 538
tmp/30.150.162.cnf, 30844
tmp/30.150.70.cnf, 2311
tmp/30.150.151.cnf, 6346
tmp/30.150.78.cnf, 1397
tmp/30.150.192.cnf, 3175
tmp/30.150.193.cnf, 2212
tmp/30.150.229.cnf, 8483
tmp/30.150.133.cnf, 4615
tmp/30.150.22.cnf, 745
tmp/30.150.109.cnf, 4071
tmp/30.150.21.cnf, 2164
tmp/30.150.266.cnf, 1848
tmp/30.150.55.cnf, 2268
tmp/30.150.63.cnf, 3671
tmp/30.150.138.cnf, 2630
tmp/30.150.71.cnf, 1389
tmp/30.150.212.cnf, 3922
tmp/30.150.101.cnf, 1513
tmp/30.150.73.cnf, 18660
tmp/30.150.293.cnf, 4394
tmp/30.150.152.cnf, 10190
tmp/30.150.270.cnf, 8803
tmp/30.150.90.cnf, 15624
tmp/30.150.156.cnf, 6131
tmp/30.150.5.cnf, 14848
tmp/30.150.278.cnf, 3330
tmp/30.150.23.cnf, 5065
tmp/30.150.166.cnf, 1496
tmp/30.150.182.cnf, 3578
tmp/30.150.104.cnf, 406
tmp/30.150.286.cnf, 1957
tmp/30.150.169.cnf, 3293
tmp/30.150.43.cnf, 8550
tmp/30.150.42.cnf, 10722
tmp/30.150.177.cnf, 10814
tmp/30.150.275.cnf, 7731
tmp/30.150.231.cnf, 2979
tmp/30.150.187.cnf, 3912
tmp/30.150.288.cnf, 7251
tmp/30.150.53.cnf, 1436
tmp/30.150.159.cnf, 1230
tmp/30.150.172.cnf, 15223
tmp/30.150.93.cnf, 5294
tmp/30.150.171.cnf, 7628
tmp/30.150.32.cnf, 864
tmp/30.150.264.cnf, 747
tmp/30.150.150.cnf, 7711
tmp/30.150.121.cnf, 2318
tmp/30.150.91.cnf, 3106
tmp/30.150.2.cnf, 36015
tmp/30.150.12.cnf, 6385
tmp/30.150.243.cnf, 776
tmp/30.150.241.cnf, 14215
tmp/30.150.234.cnf, 1042
tmp/30.150.176.cnf, 2402
tmp/30.150.294.cnf, 8395
tmp/30.150.161.cnf, 3871
tmp/30.150.153.cnf, 6790
tmp/30.150.280.cnf, 6939
tmp/30.150.67.cnf, 1337
tmp/30.150.124.cnf, 4894
