file, amc, state, mem, time
cnf/sundermann/business/erp_system/Pereira2016.cnf, , timeout err, 493404, 18000
cnf/sundermann/e_commerce/e_agribusiness/Pereira2016.cnf, 7963925211653386996494185742766347703639461295923692360841489254424698456616856618561982279131810623216162996047500964084644419224656574598261839388966608382959283203978191261741808280421285690753127365684627355567352441933078602082263728675840229260559181752971913794502414292818048171466680334912244003017347299468846784722971845317462308169068756457335303833014586903804699545663094313568402032186953608182908066027914280764893333980830153489883115017853664667399128114272139911628427473247748725403127720269056693345595987132301306718625240293592086347776, done, 294719, 94.391
cnf/sundermann/e_commerce/e_shop/Lau2006.cnf, 260584255782912, done, 14991, 0.16294
cnf/sundermann/finance/FinancialServices01/Nieke2018-2018-05-09.cnf, 98681168592896, done, 44396, 35.5407
cnf/sundermann/finance/decisionmaking/AlHajjaji2019.cnf, 40450254492752234685355723560585893170288716892129111830872100448133286056970880416059844521361408, done, 57696, 5.73968
cnf/sundermann/finance/bank/AlHajjaji2019.cnf, 51815218284328876786177743519744, done, 14991, 0.252505
cnf/sundermann/automotive/automotive01/Kowal2016.cnf, , timeout err, 493400, 18000
cnf/sundermann/automotive/automotive2/Knüppel2017-2_4.cnf, , timeout err, 2907303, 18000
cnf/sundermann/text/xtext/Mendonca2009.cnf, 138719515434295828152320, done, 20070, 0.905235
cnf/sundermann/deep_learning/cnn-architecture/Ghamizi2019-light.cnf, , timeout err, 383328, 18000
cnf/sundermann/security/CVE/VarelaVaca2020-2020-9372.cnf, 844, done, 14991, 0.214025
cnf/sundermann/database/berkeleydb/Hierons2020.cnf, 32, done, 14991, 0.00646503
cnf/sundermann/games/Tankwar/Schulze2012.cnf, 4341470040785158144, done, 51433, 31.1098
cnf/sundermann/hardware/pc-richmond/Sprey2020.cnf, , timeout err, 167882, 18000
cnf/sundermann/cloud/multicloud/GonzálezRojas2019.cnf, 1, done, 14991, 0.01291
cnf/sundermann/systems_software/innovator/Berger2013.cnf, , timeout err, 269983, 18000
cnf/sundermann/systems_software/innovator/Knüppel2017.cnf, , timeout err, 214908, 18000
cnf/sundermann/systems_software/aeb/Berger2013.cnf, , timeout err, 256397, 18000
cnf/sundermann/systems_software/aeb/Knüppel2017.cnf, , timeout err, 265248, 18000
cnf/sundermann/systems_software/stdeval1/Berger2013.cnf, , timeout err, 247132, 18000
cnf/sundermann/systems_software/stdeval1/Knüppel2017.cnf, , timeout err, 249319, 18000
cnf/sundermann/systems_software/iq80310/Berger2013.cnf, , timeout err, 329859, 18000
cnf/sundermann/systems_software/iq80310/Knüppel2017.cnf, , timeout err, 320659, 18000
cnf/sundermann/systems_software/pc_i82544/Berger2013.cnf, , timeout err, 270286, 18000
cnf/sundermann/systems_software/pc_i82544/Knüppel2017.cnf, , timeout err, 307773, 18000
cnf/sundermann/systems_software/sleb/Berger2013.cnf, , timeout err, 266956, 18000
cnf/sundermann/systems_software/sleb/Knüppel2017.cnf, , timeout err, 268189, 18000
cnf/sundermann/systems_software/aim711/Berger2013.cnf, , timeout err, 265580, 18000
cnf/sundermann/systems_software/aim711/Knüppel2017.cnf, , timeout err, 255188, 18000
cnf/sundermann/systems_software/olpcl2294/Berger2013.cnf, , timeout err, 271818, 18000
cnf/sundermann/systems_software/olpcl2294/Knüppel2017.cnf, , timeout, 264650, 18000
cnf/sundermann/systems_software/h8300h_sim/Berger2013.cnf, , timeout err, 261718, 18000
cnf/sundermann/systems_software/h8300h_sim/Knüppel2017.cnf, , timeout err, 245510, 18000
cnf/sundermann/systems_software/eb55/Berger2013.cnf, , timeout err, 359317, 18000
cnf/sundermann/systems_software/eb55/Knüppel2017.cnf, , timeout err, 266833, 18000
cnf/sundermann/systems_software/tx39_sim/Berger2013.cnf, , timeout err, 275640, 18000
cnf/sundermann/systems_software/tx39_sim/Knüppel2017.cnf, , timeout err, 248950, 18000
cnf/sundermann/systems_software/nano/Berger2013.cnf, , timeout err, 333320, 18000
cnf/sundermann/systems_software/nano/Knüppel2017.cnf, , timeout, 269750, 18000
cnf/sundermann/systems_software/lpcmt/Berger2013.cnf, , timeout err, 302993, 18000
cnf/sundermann/systems_software/lpcmt/Knüppel2017.cnf, , timeout err, 302854, 18000
cnf/sundermann/systems_software/windows/Mendonca2009-8.cnf, , timeout err, 217747, 18000
cnf/sundermann/systems_software/hs7729pci/Berger2013.cnf, , timeout err, 259547, 18000
cnf/sundermann/systems_software/hs7729pci/Knüppel2017.cnf, , timeout err, 252620, 18000
cnf/sundermann/systems_software/pc_vmWare/Berger2013.cnf, , timeout err, 269615, 18000
cnf/sundermann/systems_software/pc_vmWare/Knüppel2017.cnf, , timeout err, 268546, 18000
cnf/sundermann/systems_software/sam7ex256/Berger2013.cnf, , timeout err, 270004, 18000
cnf/sundermann/systems_software/sam7ex256/Knüppel2017.cnf, , timeout err, 274513, 18000
cnf/sundermann/systems_software/fads/Berger2013.cnf, , timeout err, 276418, 18000
cnf/sundermann/systems_software/fads/Knüppel2017.cnf, , timeout err, 249925, 18000
cnf/sundermann/systems_software/uCLinux_base/Knüppel2017.cnf, , timeout err, 176201, 18000
cnf/sundermann/systems_software/integrator_arm7/Berger2013.cnf, , timeout, 269656, 18000
cnf/sundermann/systems_software/integrator_arm7/Knüppel2017.cnf, , timeout err, 332009, 18000
cnf/sundermann/systems_software/sparclite_sim/Berger2013.cnf, , timeout, 241508, 18000
cnf/sundermann/systems_software/sparclite_sim/Knüppel2017.cnf, , timeout err, 244744, 18000
cnf/sundermann/systems_software/mcb2100/Berger2013.cnf, , timeout err, 260030, 18000
cnf/sundermann/systems_software/mcb2100/Knüppel2017.cnf, , timeout err, 252649, 18000
cnf/sundermann/systems_software/cerf/Berger2013.cnf, , timeout err, 312066, 18000
cnf/sundermann/systems_software/cerf/Knüppel2017.cnf, , timeout err, 285450, 18000
cnf/sundermann/systems_software/aki3068net/Berger2013.cnf, , timeout err, 269234, 18000
cnf/sundermann/systems_software/aki3068net/Knüppel2017.cnf, , timeout err, 250380, 18000
