file, mod
unigen3_easy/81.sk_5_51.cnf, 0
unigen3_easy/V15/s953a_15_7.cnf, 0
unigen3_easy/V7/s27_7_4.cnf, 0.436605
unigen3_easy/Blasted_Real/blasted_case28.cnf, 0.553428
unigen3_easy/FeatureModels/FM-3.6.1-refined.cnf, 0.625569
unigen3_easy/diagStencil.sk_35_36.cnf, 0
unigen3_easy/V7/s344_7_4.cnf, 0.626704
unigen3_easy/Blasted_Real/blasted_case17.cnf, 0.570638
unigen3_easy/Blasted_Real/blasted_case55.cnf, 0.560694
unigen3_easy/Blasted_Real/blasted_case102.cnf, 0.483564
unigen3_easy/V3/s298_3_2.cnf, 0.542339
unigen3_easy/V15/s349_15_7.cnf, 0.604057
unigen3_easy/FMEasy/toybox2.cnf, 0.875005
unigen3_easy/polynomial.sk_7_25.cnf, 0.546656
unigen3_easy/Blasted_Real/blasted_case4.cnf, 0.554803
unigen3_easy/Blasted_Real/blasted_case8.cnf, 0.608132
unigen3_easy/V7/s27_new_7_4.cnf, 0.417355
unigen3_easy/Blasted_Real/blasted_case52.cnf, 0.597484
unigen3_easy/V15/s344_15_7.cnf, 0.606386
unigen3_easy/V7/s444_7_4.cnf, 0.633655
unigen3_easy/Blasted_Real/blasted_case_2_b14_3.cnf, 0.623534
unigen3_easy/V15/s27_15_7.cnf, 0.436605
unigen3_easy/tableBasedAddition.sk_240_1024.cnf, 0
unigen3_easy/V3/s510_3_2.cnf, 0.476529
unigen3_easy/Blasted_Real/blasted_case132.cnf, 0.589452
unigen3_easy/Blasted_Real/blasted_case30.cnf, 0.533446
unigen3_easy/Blasted_Real/blasted_case41.cnf, 0.609062
unigen3_easy/Blasted_Real/blasted_case121.cnf, 0.636275
unigen3_easy/Blasted_Real/blasted_case_1_b14_3.cnf, 0.624312
unigen3_easy/Blasted_Real/blasted_case_1_b14_2.cnf, 0.612835
unigen3_easy/Blasted_Real/blasted_case202.cnf, 0.605039
unigen3_easy/V7/s1238a_7_4.cnf, 0
unigen3_easy/V3/s349_3_2.cnf, 0.594515
unigen3_easy/V3/s526_3_2.cnf, 0.567421
unigen3_easy/V7/s510_7_4.cnf, 0.510488
unigen3_easy/diagStencilClean.sk_41_36.cnf, 0
unigen3_easy/Blasted_Real/blasted_case113.cnf, 0.545246
unigen3_easy/V7/s349_7_4.cnf, 0.63308
unigen3_easy/V7/s526_7_4.cnf, 0.588454
unigen3_easy/Blasted_Real/blasted_case62.cnf, 0.596519
unigen3_easy/V15/s298_15_7.cnf, 0.607497
unigen3_easy/V3/s27_3_2.cnf, 0.436605
unigen3_easy/Blasted_Real/blasted_case127.cnf, 0.47513
unigen3_easy/V15/s510_15_7.cnf, 0.540344
unigen3_easy/Blasted_Real/blasted_case201.cnf, 0.602755
unigen3_easy/Blasted_Real/blasted_case59_1.cnf, 0.61617
unigen3_easy/Blasted_Real/blasted_case33.cnf, 0.553484
unigen3_easy/Blasted_Real/blasted_case25.cnf, 0.545392
unigen3_easy/Blasted_Real/blasted_case1.cnf, 0.537806
unigen3_easy/Blasted_Real/blasted_case32.cnf, 0.553484
unigen3_easy/Blasted_Real/blasted_case111.cnf, 0.549084
unigen3_easy/Blasted_Real/blasted_case124.cnf, 0.634268
unigen3_easy/V7/s953a_7_4.cnf, 0
unigen3_easy/V3/s420_new_3_2.cnf, 0.587351
unigen3_easy/Blasted_Real/blasted_case58.cnf, 0.615497
unigen3_easy/Blasted_Real/blasted_case18.cnf, 0
unigen3_easy/Blasted_Real/blasted_case137.cnf, 0.699428
unigen3_easy/Blasted_Real/blasted_case57.cnf, 0.593767
unigen3_easy/Blasted_Real/blasted_case22.cnf, 0.535488
unigen3_easy/Blasted_Real/blasted_case_0_b12_1.cnf, 0.611678
unigen3_easy/Blasted_Real/blasted_case54.cnf, 0.539525
unigen3_easy/Blasted_Real/blasted_case_3_b14_2.cnf, 0.612039
unigen3_easy/Blasted_Real/blasted_case38.cnf, 0.545241
unigen3_easy/Blasted_Real/blasted_case123.cnf, 0.620954
unigen3_easy/Blasted_Real/blasted_case_2_b12_1.cnf, 0.611678
unigen3_easy/V3/s1196a_3_2.cnf, 0
unigen3_easy/V3/s420_new1_3_2.cnf, 0.595539
unigen3_easy/Blasted_Real/blasted_case117.cnf, 0.548661
unigen3_easy/V7/s420_new_7_4.cnf, 0.622276
unigen3_easy/Blasted_Real/blasted_case200.cnf, 0.220332
unigen3_easy/Blasted_Real/blasted_case31.cnf, 0.56602
unigen3_easy/registerlesSwap.sk_3_10.cnf, 0.626909
unigen3_easy/V3/s420_3_2.cnf, 0.595539
unigen3_easy/Blasted_Real/blasted_case21.cnf, 0.551356
unigen3_easy/30.sk_5_76.cnf, 0
unigen3_easy/Blasted_Real/blasted_case204.cnf, 0.610174
unigen3_easy/Blasted_Real/blasted_case206.cnf, 0.220332
unigen3_easy/Blasted_Real/blasted_case53.cnf, 0.592757
unigen3_easy/FMEasy/toybox.cnf, 0.875005
unigen3_easy/Blasted_Real/blasted_case6.cnf, 0.62277
unigen3_easy/Blasted_Real/blasted_case26.cnf, 0.549243
unigen3_easy/27.sk_3_32.cnf, 0.658104
unigen3_easy/V3/s344_3_2.cnf, 0.602693
unigen3_easy/V15/s444_15_7.cnf, 0.648704
