file,mc
r30c150b1000/30.150.277.cnf, 3913
r30c150b1000/30.150.0.cnf, 2623
r30c150b1000/30.150.249.cnf, 3457
r30c150b1000/30.150.93.cnf, 5294
r30c150b1000/30.150.40.cnf, 14861
r30c150b1000/30.150.199.cnf, 16724
r30c150b1000/30.150.5.cnf, 14848
r30c150b1000/30.150.35.cnf, 513
r30c150b1000/30.150.125.cnf, 1075
r30c150b1000/30.150.188.cnf, 2830
r30c150b1000/30.150.63.cnf, 3671
r30c150b1000/30.150.47.cnf, 22838
r30c150b1000/30.150.92.cnf, 3151
r30c150b1000/30.150.114.cnf, 1929
r30c150b1000/30.150.27.cnf, 5162
r30c150b1000/30.150.9.cnf, 1982
r30c150b1000/30.150.189.cnf, 3369
r30c150b1000/30.150.156.cnf, 6131
r30c150b1000/30.150.48.cnf, 3565
r30c150b1000/30.150.46.cnf, 21191
r30c150b1000/30.150.228.cnf, 5301
r30c150b1000/30.150.24.cnf, 6618
r30c150b1000/30.150.127.cnf, 2881
r30c150b1000/30.150.137.cnf, 24203
r30c150b1000/30.150.243.cnf, 776
r30c150b1000/30.150.103.cnf, 5686
r30c150b1000/30.150.292.cnf, 6853
r30c150b1000/30.150.284.cnf, 3945
r30c150b1000/30.150.25.cnf, 4165
r30c150b1000/30.150.26.cnf, 16326
r30c150b1000/30.150.216.cnf, 6212
r30c150b1000/30.150.95.cnf, 15743
r30c150b1000/30.150.45.cnf, 5077
r30c150b1000/30.150.19.cnf, 7912
r30c150b1000/30.150.217.cnf, 4743
r30c150b1000/30.150.246.cnf, 3978
r30c150b1000/30.150.285.cnf, 1161
r30c150b1000/30.150.297.cnf, 453
r30c150b1000/30.150.250.cnf, 26063
r30c150b1000/30.150.236.cnf, 1637
r30c150b1000/30.150.192.cnf, 3175
r30c150b1000/30.150.269.cnf, 12384
r30c150b1000/30.150.178.cnf, 1739
r30c150b1000/30.150.58.cnf, 8739
r30c150b1000/30.150.191.cnf, 7213
r30c150b1000/30.150.296.cnf, 9777
r30c150b1000/30.150.29.cnf, 1620
r30c150b1000/30.150.179.cnf, 4346
r30c150b1000/30.150.252.cnf, 12076
r30c150b1000/30.150.266.cnf, 1848
r30c150b1000/30.150.237.cnf, 10834
r30c150b1000/30.150.44.cnf, 2164
r30c150b1000/30.150.112.cnf, 5819
r30c150b1000/30.150.67.cnf, 1337
r30c150b1000/30.150.68.cnf, 12515
r30c150b1000/30.150.98.cnf, 9146
r30c150b1000/30.150.52.cnf, 13855
r30c150b1000/30.150.34.cnf, 7693
r30c150b1000/30.150.111.cnf, 6310
r30c150b1000/30.150.53.cnf, 1436
r30c150b1000/30.150.206.cnf, 9876
r30c150b1000/30.150.298.cnf, 18286
r30c150b1000/30.150.180.cnf, 7211
r30c150b1000/30.150.41.cnf, 4842
r30c150b1000/30.150.273.cnf, 2435
r30c150b1000/30.150.88.cnf, 6046
r30c150b1000/30.150.197.cnf, 3721
r30c150b1000/30.150.257.cnf, 7125
r30c150b1000/30.150.8.cnf, 4332
r30c150b1000/30.150.163.cnf, 9597
r30c150b1000/30.150.39.cnf, 5000
r30c150b1000/30.150.272.cnf, 17045
r30c150b1000/30.150.84.cnf, 2019
r30c150b1000/30.150.81.cnf, 3253
r30c150b1000/30.150.251.cnf, 7543
r30c150b1000/30.150.226.cnf, 3455
r30c150b1000/30.150.241.cnf, 14215
r30c150b1000/30.150.79.cnf, 3828
r30c150b1000/30.150.161.cnf, 3871
r30c150b1000/30.150.72.cnf, 5394
r30c150b1000/30.150.256.cnf, 3170
r30c150b1000/30.150.37.cnf, 2326
r30c150b1000/30.150.1.cnf, 405
r30c150b1000/30.150.141.cnf, 10555
r30c150b1000/30.150.276.cnf, 4388
r30c150b1000/30.150.220.cnf, 3352
r30c150b1000/30.150.287.cnf, 769
r30c150b1000/30.150.195.cnf, 15159
r30c150b1000/30.150.190.cnf, 9981
r30c150b1000/30.150.96.cnf, 17767
r30c150b1000/30.150.136.cnf, 2267
r30c150b1000/30.150.170.cnf, 329
r30c150b1000/30.150.14.cnf, 5379
r30c150b1000/30.150.74.cnf, 8366
r30c150b1000/30.150.91.cnf, 3106
r30c150b1000/30.150.110.cnf, 9708
r30c150b1000/30.150.210.cnf, 1975
r30c150b1000/30.150.121.cnf, 2318
r30c150b1000/30.150.248.cnf, 26939
r30c150b1000/30.150.118.cnf, 11440
r30c150b1000/30.150.196.cnf, 3079
r30c150b1000/30.150.155.cnf, 3750
r30c150b1000/30.150.288.cnf, 7251
r30c150b1000/30.150.214.cnf, 1563
r30c150b1000/30.150.160.cnf, 5303
r30c150b1000/30.150.227.cnf, 8853
r30c150b1000/30.150.168.cnf, 1184
r30c150b1000/30.150.102.cnf, 4288
r30c150b1000/30.150.291.cnf, 18359
r30c150b1000/30.150.49.cnf, 7446
r30c150b1000/30.150.289.cnf, 2137
r30c150b1000/30.150.263.cnf, 879
r30c150b1000/30.150.167.cnf, 1543
r30c150b1000/30.150.233.cnf, 7529
r30c150b1000/30.150.267.cnf, 2335
r30c150b1000/30.150.154.cnf, 5452
r30c150b1000/30.150.245.cnf, 3073
r30c150b1000/30.150.99.cnf, 5652
r30c150b1000/30.150.104.cnf, 406
r30c150b1000/30.150.293.cnf, 4394
r30c150b1000/30.150.30.cnf, 1603
r30c150b1000/30.150.101.cnf, 1513
r30c150b1000/30.150.198.cnf, 1158
r30c150b1000/30.150.162.cnf, 30844
r30c150b1000/30.150.194.cnf, 1574
r30c150b1000/30.150.126.cnf, 1199
r30c150b1000/30.150.15.cnf, 5051
r30c150b1000/30.150.175.cnf, 2148
r30c150b1000/30.150.129.cnf, 1552
r30c150b1000/30.150.131.cnf, 11904
r30c150b1000/30.150.239.cnf, 3308
r30c150b1000/30.150.3.cnf, 2915
r30c150b1000/30.150.144.cnf, 2916
r30c150b1000/30.150.224.cnf, 12044
r30c150b1000/30.150.207.cnf, 4167
r30c150b1000/30.150.253.cnf, 1658
r30c150b1000/30.150.261.cnf, 10230
r30c150b1000/30.150.280.cnf, 6939
r30c150b1000/30.150.55.cnf, 2268
r30c150b1000/30.150.138.cnf, 2630
r30c150b1000/30.150.282.cnf, 1667
r30c150b1000/30.150.20.cnf, 7240
r30c150b1000/30.150.181.cnf, 14673
r30c150b1000/30.150.89.cnf, 617
r30c150b1000/30.150.105.cnf, 8630
r30c150b1000/30.150.70.cnf, 2311
r30c150b1000/30.150.108.cnf, 12124
r30c150b1000/30.150.11.cnf, 1541
r30c150b1000/30.150.200.cnf, 16223
r30c150b1000/30.150.100.cnf, 4292
r30c150b1000/30.150.61.cnf, 2140
r30c150b1000/30.150.12.cnf, 6385
r30c150b1000/30.150.31.cnf, 1077
r30c150b1000/30.150.258.cnf, 7000
r30c150b1000/30.150.281.cnf, 1791
r30c150b1000/30.150.56.cnf, 1112
r30c150b1000/30.150.139.cnf, 1499
r30c150b1000/30.150.209.cnf, 3742
r30c150b1000/30.150.204.cnf, 2250
