file,mc
unigen3_easy/polynomial.sk_7_25.cnf,64
unigen3_easy/56.sk_6_38.cnf,3690987520
unigen3_easy/35.sk_3_52.cnf,4398046511104
unigen3_easy/V15/s832a_15_7.cnf,3713024
unigen3_easy/V15/s344_15_7.cnf,8388608
unigen3_easy/V15/s510_15_7.cnf,15073280
unigen3_easy/V15/s526a_15_7.cnf,8388608
unigen3_easy/V15/s349_15_7.cnf,8388608
unigen3_easy/V15/s27_15_7.cnf,70
unigen3_easy/V15/s420_15_7.cnf,8589934592
unigen3_easy/V15/s420_new_15_7.cnf,8589934592
unigen3_easy/V15/s298_15_7.cnf,65536
unigen3_easy/V15/s27_new_15_7.cnf,48
unigen3_easy/V15/s820a_15_7.cnf,722944
unigen3_easy/V15/s420_new1_15_7.cnf,8589934592
unigen3_easy/V15/s382_15_7.cnf,12582912
unigen3_easy/V15/s444_15_7.cnf,4132864
unigen3_easy/V15/s526_15_7.cnf,8388608
unigen3_easy/V15/s1488_15_7.cnf,3872
unigen3_easy/107.sk_3_90.cnf,1.88894659314786E+022
unigen3_easy/tableBasedAddition.sk_240_1024.cnf,3.68934881474191E+019
unigen3_easy/53.sk_4_32.cnf,67108864
unigen3_easy/63.sk_3_64.cnf,1.94217733930353E+016
unigen3_easy/77.sk_3_44.cnf,18253611008
unigen3_easy/51.sk_4_38.cnf,2617245696
unigen3_easy/7.sk_4_50.cnf,2199023255552
unigen3_easy/tutorial2.sk_3_4.cnf,4
unigen3_easy/80.sk_2_48.cnf,1099511627776
unigen3_easy/V7/s382_7_4.cnf,3699712
unigen3_easy/V7/s1488_7_4.cnf,8864
unigen3_easy/V7/s832a_7_4.cnf,819200
unigen3_easy/V7/s344_7_4.cnf,8388608
unigen3_easy/V7/s526a_7_4.cnf,7340032
unigen3_easy/V7/s420_7_4.cnf,8589934592
unigen3_easy/V7/s444_7_4.cnf,12818432
unigen3_easy/V7/s27_7_4.cnf,70
unigen3_easy/V7/s526_7_4.cnf,6291456
unigen3_easy/V7/s27_new_7_4.cnf,48
unigen3_easy/V7/s420_new1_7_4.cnf,8589934592
unigen3_easy/V7/s510_7_4.cnf,15073280
unigen3_easy/V7/s820a_7_4.cnf,591872
unigen3_easy/V7/s298_7_4.cnf,65536
unigen3_easy/V7/s420_new_7_4.cnf,8589934592
unigen3_easy/V7/s349_7_4.cnf,8388608
unigen3_easy/27.sk_3_32.cnf,67108864
unigen3_easy/10.sk_1_46.cnf,1081274793984
unigen3_easy/17.sk_3_45.cnf,274877906944
unigen3_easy/79.sk_4_40.cnf,0
unigen3_easy/70.sk_3_40.cnf,8589934592
unigen3_easy/V3/s820a_3_2.cnf,198656
unigen3_easy/V3/s27_3_2.cnf,70
unigen3_easy/V3/s526_3_2.cnf,4194304
unigen3_easy/V3/s420_new1_3_2.cnf,8589934592
unigen3_easy/V3/s832a_3_2.cnf,294912
unigen3_easy/V3/s1488_3_2.cnf,3224
unigen3_easy/V3/s444_3_2.cnf,3699712
unigen3_easy/V3/s420_3_2.cnf,8589934592
unigen3_easy/V3/s526a_3_2.cnf,6291456
unigen3_easy/V3/s382_3_2.cnf,3699712
unigen3_easy/V3/s510_3_2.cnf,15597568
unigen3_easy/V3/s420_new_3_2.cnf,8589934592
unigen3_easy/V3/s27_new_3_2.cnf,48
unigen3_easy/V3/s349_3_2.cnf,8388608
unigen3_easy/V3/s298_3_2.cnf,32768
unigen3_easy/V3/s344_3_2.cnf,8388608
unigen3_easy/V3/s953a_3_2.cnf,9070970929152
unigen3_easy/36.sk_3_77.cnf,0
unigen3_easy/registerlesSwap.sk_3_10.cnf,11776
unigen3_easy/FeatureModels/FM-3.6.1-refined.cnf,26256
unigen3_easy/111.sk_2_36.cnf,536870912
unigen3_easy/84.sk_4_77.cnf,3.68934881474191E+019
unigen3_easy/SetTest.sk_9_21.cnf,36
unigen3_easy/55.sk_3_46.cnf,274877906944
unigen3_easy/FMEasy/toybox2.cnf,1.44991790900969E+017
unigen3_easy/FMEasy/toybox.cnf,1.44991790900969E+017
unigen3_easy/FMEasy/axTLS.cnf,4.28726493299199E+020
unigen3_easy/FMEasy/fiasco.cnf,358108536766464
